IP,Categories,ReportDate,Comment
200.98.200.95,4,2025-06-19T12:05:54.000Z,Detected L7 DDoS via Cloudflare
47.88.18.204,4,2025-06-19T12:05:24.000Z,Detected L7 DDoS via Cloudflare
171.244.62.94,4,2025-06-19T12:05:19.000Z,Detected L7 DDoS via Cloudflare
14.225.210.186,4,2025-06-19T12:05:14.000Z,Detected L7 DDoS via Cloudflare
200.98.201.8,4,2025-06-19T12:05:10.000Z,Detected L7 DDoS via Cloudflare
157.10.3.9,4,2025-06-19T12:05:09.000Z,Detected L7 DDoS via Cloudflare
157.20.252.221,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
202.57.25.49,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
153.37.254.234,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
41.59.115.217,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
150.109.37.211,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
52.194.87.84,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
190.0.241.220,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
129.18.210.10,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
203.210.85.215,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
103.147.163.130,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
49.147.69.140,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
103.120.76.130,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
190.71.147.50,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
185.123.193.181,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
92.191.156.139,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
126.209.72.162,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
45.143.108.114,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
46.36.123.50,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
70.22.175.232,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
103.169.186.133,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
103.228.246.199,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
212.51.157.178,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
179.1.203.76,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
138.117.110.242,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
43.229.225.54,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
103.199.139.1,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
117.103.171.1,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
103.169.39.34,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
103.169.33.30,4,2025-06-19T12:05:08.000Z,Detected L7 DDoS via Cloudflare
