"IP","Categories","ReportDate","Comment"
"47.91.65.23","18","2025-08-19T23:35:47.768Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"103.82.0.42","18","2025-08-19T23:35:47.927Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"104.155.111.184","18","2025-08-19T23:35:48.107Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"103.169.138.4","18","2025-08-19T23:35:49.010Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"2a01:7e04:e001:c5:7d6:e3ef:d120:6050","18","2025-08-19T23:35:49.554Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
"23.156.24.68","18","2025-08-19T23:35:49.761Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"91.121.63.51","18","2025-08-19T23:35:49.761Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
"187.251.224.167","18","2025-08-19T23:35:49.775Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"85.105.9.165","18","2025-08-19T23:35:49.775Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"27.147.129.26","18","2025-08-19T23:35:49.887Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"103.153.135.94","18","2025-08-19T23:35:49.911Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"8.213.151.128","18","2025-08-19T23:35:50.045Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
"47.243.92.199","18","2025-08-19T23:35:50.840Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
"36.129.129.215","18","2025-08-19T23:35:51.042Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"36.50.92.147","18","2025-08-19T23:35:51.313Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"103.127.220.78","18","2025-08-19T23:35:51.313Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"45.174.95.142","18","2025-08-19T23:35:51.313Z","DDoS Attack: Endpoint /?LvDdZ=DoMa8auKCn93opzQAuExyM7Md. UA: vVBdAZA4abxksi1"
"190.14.14.77","18","2025-08-19T23:35:51.615Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
"103.137.91.250","18","2025-08-19T23:35:51.615Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"38.156.72.6","18","2025-08-19T23:35:51.622Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
"57.129.81.201","18","2025-08-19T23:35:51.693Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
"46.161.194.83","18","2025-08-19T23:35:52.013Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"45.133.107.250","18","2025-08-19T23:35:52.316Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"202.59.89.43","18","2025-08-19T23:35:52.340Z","DDoS Attack: Endpoint /?iJHpf=87lSXuA6ndoHtqcyrOx4TLW9x. UA: WFuD3somyOFPED1"
"45.171.64.21","18","2025-08-19T23:35:52.723Z","DDoS Attack: Endpoint /?CQZnI=sA4bJeZAXPDWQZqSBLP3Gz9aR. UA: HFOtJmUFN5u3hci"
